ISIN;Weight
US67066G1040;4.8474%
US5949181045;4.1936%
CA7800871021;2.0867%
US4370761029;2.0282%
US38141G1040;1.9465%
IE00BK9ZQ967;1.9145%
US0640581007;1.7916%
US09857L1089;1.6822%
US3755581036;1.4807%
US0382221051;1.4712%
CA1360691010;1.4669%
US64110D1046;1.4295%
GB00B10RZP78;1.3481%
CA0084741085;1.3357%
US79466L3024;1.3246%
US6200763075;1.3186%
US17275R1023;1.2778%
US5128073062;1.2687%
US40412C1018;1.2466%
US2561631068;1.2216%
US20030N1019;1.206%
US88579Y1010;1.1868%
US2788651006;1.1476%
US29084Q1004;1.1193%
US3802371076;1.0906%
US7433151039;1.0806%
JP3788600009;1.0736%
DK0010244508;1.0404%
US03073E1055;1.0235%
US6907421019;1.0204%
US9113631090;0.9973%
US2546871060;0.9926%
US87165B1035;0.9804%
FR0000121667;0.9696%
US5486611073;0.9637%
US3377381088;0.9387%
DE0007164600;0.9272%
US31428X1063;0.9231%
IT0000072618;0.9038%
US2786421030;0.8898%
FR0000120644;0.8702%
JP3496400007;0.8355%
US90138F1021;0.8325%
US00287Y1091;0.7991%
US4165151048;0.7902%
US5324571083;0.7666%
JP3890350006;0.7364%
US5738741041;0.7307%
US81762P1021;0.708%
DE000A1EWWW0;0.7024%
US23918K1088;0.7%
US6934751057;0.6962%
FR0000121972;0.6609%
JP3435000009;0.6502%
US9699041011;0.6213%
US31620M1062;0.6114%
JP3732000009;0.6048%
US0258161092;0.597%
US1999081045;0.5911%
US92343V1044;0.5911%
US1255231003;0.5901%
DE0006048432;0.586%
JP3885780001;0.575%
SG1L01001701;0.5631%
NL0013654783;0.5466%
US7443201022;0.5332%
GB00BPQY8M80;0.5273%
US58155Q1031;0.5161%
DK0060252690;0.514%
US40434L1052;0.514%
JP3762600009;0.5138%
US00508Y1029;0.5033%
AT0000652011;0.4812%
US14149Y1082;0.4789%
NL0010273215;0.4727%
US0404132054;0.4691%
US1941621039;0.469%
JP3970300004;0.4662%
US4571871023;0.4316%
JP3571400005;0.4315%
JP3814000000;0.4275%
JP3242800005;0.4269%
JP3802300008;0.4067%
US35137L1052;0.4016%
GB0031348658;0.3907%
US70450Y1038;0.3843%
NL0000687663;0.3839%
DE0005140008;0.3645%
CH0012221716;0.356%
US7835491082;0.3394%
US89417E1091;0.3391%
US4595061015;0.3347%
IE00BKVD2N49;0.3231%
FR0000130809;0.3212%
JP3866800000;0.3156%
US2533931026;0.3103%
FR0000130452;0.3064%
DE0006047004;0.3044%
US0865161014;0.3036%
US2283681060;0.2997%
US00724F1012;0.299%
FR0000120628;0.2986%
US00090Q1031;0.2969%
US4943681035;0.2667%
US87612E1064;0.2636%
CA5394811015;0.256%
JP3814800003;0.2549%
US2441991054;0.2504%
CA56501R1064;0.2462%
US8574771031;0.231%
US92826C8394;0.2264%
US26210C1045;0.225%
ES0148396007;0.2232%
JP3164720009;0.218%
DE0008404005;0.2179%
NO0010161896;0.2176%
FR001400AJ45;0.2176%
US0200021014;0.2155%
JP3902400005;0.2152%
JP3659000008;0.2111%
US0997241064;0.1946%
US57636Q1040;0.1939%
US3848021040;0.1917%
US59156R1086;0.1847%
CH0012214059;0.1843%
US0530151036;0.1834%
DK0010219153;0.1804%
US8581191009;0.18%
US6687711084;0.1787%
SE0007100581;0.1729%
SE0020050417;0.1689%
JP3118000003;0.1641%
US2855121099;0.1638%
US8825081040;0.1637%
US7427181091;0.1635%
CH1216478797;0.16%
JP3419400001;0.1494%
JP3830000000;0.147%
US0708301041;0.1465%
US4601461035;0.1464%
JP3902900004;0.1428%
JP3269600007;0.1427%
US2600031080;0.1416%
US0394831020;0.138%
JP3519400000;0.1372%
US0936711052;0.1364%
JP3476480003;0.1334%
US6516391066;0.1307%
JP3914400001;0.1307%
FR0000120503;0.13%
US9344231041;0.1295%
BE0003565737;0.1291%
JP3111200006;0.1261%
SE0000667925;0.1233%
US4180561072;0.1214%
US2576511099;0.1146%
FI0009005870;0.1142%
DK0010287663;0.1135%
US14040H1059;0.1124%
JP3684000007;0.1089%
JP3854600008;0.1075%
JP3837800006;0.1055%
NL0000334118;0.094%
JP3347200002;0.0879%
US67059N1081;0.0864%
US12541W2098;0.0862%
IT0000062072;0.0833%
DE0006231004;0.0825%
JP3475350009;0.078%
NL0009538784;0.0745%
