ISIN;Weighting
US0378331005;5.19%
US5949181045;4.89%
US67066G1040;4.29%
US92826C8394;3.79%
US30303M1027;3.77%
US57636Q1040;2.44%
US5324571083;1.99%
US02079K3059;1.78%
NL0010273215;1.56%
US02079K1079;1.54%
US22160K1051;1.51%
US91324P1021;1.42%
US8725401090;1.36%
DK0062498333;1.25%
US64110L1061;1.20%
US7427181091;1.15%
IE00B4BNMY34;1.07%
US6541061031;1.03%
FR0000052292;1.03%
US4781601046;1.02%
US20825C1045;1.02%
US00724F1012;1.01%
US1912161007;0.93%
ES0144580Y14;0.92%
US0530151036;0.92%
US1491231015;0.89%
CH0012032048;0.88%
US58933Y1055;0.86%
US1696561059;0.86%
US17275R1023;0.83%
NL0011585146;0.78%
US7475251036;0.77%
US0382221051;0.74%
ES0148396007;0.69%
IE000S9YS762;0.64%
US09290D1019;0.64%
US5500211090;0.63%
US4385161066;0.62%
AN8068571086;0.62%
US8825081040;0.61%
US7433151039;0.59%
US7134481081;0.58%
US9078181081;0.57%
CH0038863350;0.57%
CH0012005267;0.56%
GB0009895292;0.56%
US74460D1090;0.56%
US5128073062;0.55%
GB00B2B0DG97;0.54%
US6974351057;0.54%
US0404132054;0.52%
DE0008404005;0.52%
US5717481023;0.51%
AU000000WES1;0.50%
US6826801036;0.49%
US88262P1021;0.48%
AU000000BHP4;0.47%
US8168511090;0.47%
US5398301094;0.45%
US6153691059;0.43%
US4824801009;0.42%
US1729081059;0.42%
IE00BK9ZQ967;0.41%
CH0044328745;0.40%
CH0012221716;0.39%
CH0011075394;0.37%
US23331A1097;0.37%
US9699041011;0.37%
US2435371073;0.37%
GB00B10RZP78;0.37%
US12504L1098;0.37%
US12572Q1058;0.35%
IE00BLP1HW54;0.35%
US7043261079;0.35%
DE0008430026;0.34%
US4523081093;0.34%
CH0114405324;0.33%
US70450Y1038;0.33%
US62944T1051;0.32%
US3848021040;0.32%
US03076C1062;0.32%
US8923561067;0.31%
US1273871087;0.30%
US92532F1003;0.29%
US98978V1035;0.29%
US8243481061;0.28%
US03769M1062;0.28%
US0320951017;0.28%
JP3571400005;0.28%
US1651677353;0.28%
FR0000120073;0.28%
JP3910660004;0.27%
GB00BN7SWP63;0.27%
US3635761097;0.26%
US0010551028;0.26%
AU000000ALL7;0.25%
US3119001044;0.25%
US7458671010;0.24%
SE0017486889;0.24%
US90384S3031;0.24%
NL0000395903;0.24%
HK0388045442;0.24%
GB0007908733;0.23%
US0495601058;0.23%
GB0007188757;0.23%
CA1363751027;0.23%
FR0000120321;0.22%
US22160N1090;0.22%
CH0024608827;0.22%
US6937181088;0.22%
US89417E1091;0.22%
US2172041061;0.22%
US0865161014;0.22%
US6795801009;0.21%
US2310211063;0.21%
US0534841012;0.21%
US0091581068;0.20%
DE0005810055;0.19%
GB0032089863;0.18%
US4062161017;0.18%
SE0015811963;0.18%
CA56501R1064;0.18%
NL0012969182;0.18%
US2788651006;0.17%
DK0060252690;0.17%
US29476L1070;0.17%
BMG0450A1053;0.17%
US31488V1070;0.16%
JP3756600007;0.16%
IE000IVNQZ81;0.16%
US45168D1046;0.16%
SE0012673267;0.15%
JP3371200001;0.14%
US7739031091;0.14%
JP3505000004;0.14%
IT0004965148;0.14%
GB0002374006;0.14%
US4165151048;0.14%
US7547301090;0.13%
HK0002007356;0.13%
US92338C1036;0.13%
CH0030170408;0.13%
IE00BDB6Q211;0.13%
CA89156V1067;0.13%
US50212V1008;0.13%
US73278L1052;0.13%
US2533931026;0.13%
CA45823T1066;0.13%
SE0017486897;0.12%
FI0009013403;0.12%
US03743Q1085;0.12%
US11133T1034;0.12%
US2199481068;0.12%
US74144T1088;0.12%
CH0010645932;0.11%
US29084Q1004;0.11%
CA4530384086;0.11%
CA8667961053;0.11%
US2561631068;0.11%
ES0173516115;0.11%
JP3890310000;0.11%
JP3837800006;0.11%
US00846U1016;0.11%
US61174X1090;0.11%
CH0418792922;0.11%
GB00B24CGK77;0.11%
GB0004544929;0.11%
US28176E1082;0.10%
HK0006000050;0.10%
JP3496400007;0.10%
JP3548600000;0.10%
US6098391054;0.10%
US12503M1080;0.10%
US64110D1046;0.10%
US1152361010;0.10%
HK0016000132;0.10%
US36467J1088;0.10%
US12514G1085;0.10%
AU000000RIO1;0.09%
US7611521078;0.09%
US3030751057;0.09%
US49177J1025;0.09%
JP3165000005;0.09%
IL0010824113;0.08%
US4435106079;0.08%
US7757111049;0.08%
AT0000746409;0.08%
CA1130041058;0.08%
US5627501092;0.08%
NL0015000IY2;0.08%
AU000000FMG4;0.08%
HK0003000038;0.08%
US3021301094;0.08%
US6935061076;0.08%
GB00B5ZN1N88;0.08%
US4278661081;0.08%
US8330341012;0.08%
US0844231029;0.08%
US7591EP1005;0.07%
JP3519400000;0.07%
JP3486800000;0.07%
US2855121099;0.07%
JP3399310006;0.07%
US12008R1077;0.07%
CH0025751329;0.07%
ES0173093024;0.07%
US9426222009;0.07%
AU000000BXB1;0.07%
CH0025238863;0.07%
US3841091040;0.07%
DE000PAG9113;0.07%
US9418481035;0.07%
FI0009013296;0.06%
DE0008402215;0.06%
GB00B8C3BL03;0.06%
US3703341046;0.06%
US70432V1026;0.06%
AU000000CPU5;0.06%
US4262811015;0.06%
KYG2177B1014;0.06%
US29530P1021;0.06%
NO0010345853;0.06%
US9553061055;0.06%
FR0013451333;0.05%
FI0009007132;0.05%
IT0000072170;0.05%
IE00BFRT3W74;0.05%
US8926721064;0.05%
SE0015658109;0.05%
CH0311864901;0.05%
NO0003043309;0.05%
GB00BL9YR756;0.05%
US0536111091;0.05%
AU000000JHX1;0.05%
CH1175448666;0.05%
CH0024638196;0.05%
AT0000743059;0.05%
JP3183200009;0.05%
US6951561090;0.05%
US7841171033;0.05%
US7496851038;0.05%
AU000000PME8;0.05%
BMG2178K1009;0.04%
GB0031638363;0.04%
SG1J26887955;0.04%
GB00B02J6398;0.04%
JP3979200007;0.04%
CH0012032113;0.04%
US60855R1005;0.04%
CH0012549785;0.04%
US6819191064;0.04%
US83444M1018;0.04%
CH0130293662;0.04%
NL0012866412;0.04%
CA39138C1068;0.04%
US0259321042;0.04%
US8318652091;0.04%
JP3684000007;0.04%
US7595091023;0.04%
US57060D1081;0.04%
DK0060448595;0.03%
GB00BVYVFW23;0.03%
CA45075E1043;0.03%
US8910921084;0.03%
JE00BJ1F3079;0.03%
DE0006602006;0.03%
CA87262K1057;0.03%
GB00B1VZ0M25;0.03%
AU000000ASX7;0.03%
AU000000MPL3;0.03%
CH0008742519;0.03%
CH0024638212;0.03%
SE0015658117;0.03%
SG1U76934819;0.03%
CA8911021050;0.03%
DE0006452907;0.03%
DE0007010803;0.03%
JP3922950005;0.03%
US4606901001;0.02%
JP3689500001;0.02%
IT0004810054;0.02%
SE0020050417;0.02%
AU000000REA9;0.02%
DK0010181759;0.02%
JP3218900003;0.02%
CA1249003098;0.02%
HK0004000045;0.02%
CH0016440353;0.02%
NO0010582521;0.02%
FI0009014377;0.02%
GB00BMWC6P49;0.02%
FI0009007884;0.02%
DE0005470306;0.02%
DE000A12DM80;0.02%
_CURRENCYGBP;0.01%
KYG8187G1055;0.01%
GB00BP9LHF23;0.01%
GB00B0LCW083;0.01%
US1156372096;0.01%
BE0003604155;0.01%
