ISIN;Weighting
US17275R1023;3.58%
US4592001014;2.66%
US7475251036;2.40%
US00206R1023;2.06%
JP3633400001;2.00%
US4581401001;1.76%
US92343V1044;1.69%
GB0002875804;1.40%
GB0005405286;1.36%
GB00BP6MXD84;1.30%
US1729674242;1.28%
US7170811035;1.18%
US20030N1019;1.14%
CH0012005267;1.07%
FR0000120578;1.01%
US42824C1099;0.99%
US37045V1008;0.98%
ES0113900J37;0.90%
FR0000120271;0.87%
US1266501006;0.86%
US1101221083;0.85%
US5951121038;0.81%
JP3242800005;0.81%
FI0009000681;0.77%
DE0007100000;0.76%
JP3902900004;0.71%
FR0000131104;0.70%
DE0006231004;0.68%
US3755581036;0.68%
JP3854600008;0.68%
JP3898400001;0.67%
US1255231003;0.66%
US1924461023;0.66%
NL00150001Q9;0.66%
GB0031348658;0.64%
JP3893600001;0.64%
GB0007980591;0.62%
US2193501051;0.61%
US40434L1052;0.61%
JP3143600009;0.58%
GB00BN7SWP63;0.57%
JP3814000000;0.57%
IT0005239360;0.54%
IT0003128367;0.53%
FR0000125007;0.53%
US3453708600;0.53%
JP3890350006;0.52%
ES0113211835;0.52%
US02209S1033;0.52%
JP3164720009;0.52%
JP3818000006;0.50%
DE0007664039;0.49%
JP3733000008;0.49%
FR0010208488;0.48%
JP3538800008;0.47%
DE0005140008;0.47%
FR0000125338;0.45%
SE0000108656;0.45%
DE0005190003;0.44%
JP3885780001;0.43%
JP3404600003;0.42%
JP3914400001;0.42%
GB0008706128;0.42%
US8288061091;0.40%
IT0000072618;0.40%
JP3496400007;0.40%
JP3249600002;0.39%
GB0007188757;0.38%
JP3866800000;0.38%
US14040H1059;0.38%
NL0011821202;0.38%
GB00BH4HKS39;0.37%
US15135B1017;0.37%
US0367521038;0.36%
NL0000226223;0.36%
GB0004544929;0.35%
US90138F1021;0.35%
JP3877600001;0.35%
US23331A1097;0.34%
NL0011794037;0.34%
GB0004082847;0.34%
JP3304200003;0.33%
KYG217651051;0.33%
DE000BAY0017;0.33%
DE0005552004;0.33%
GB00B1YW4409;0.32%
FR0000130809;0.32%
US89832Q1094;0.32%
JP3753000003;0.32%
NL0000687663;0.31%
US98980L1017;0.31%
US5007541064;0.31%
US5010441013;0.31%
GB00BM8PJY71;0.31%
US6821891057;0.30%
GB00BLGZ9862;0.30%
JP3463000004;0.30%
US64110D1046;0.29%
US5260571048;0.29%
JP3902400005;0.28%
CA56501R1064;0.28%
DE0007037129;0.28%
US9581021055;0.28%
JP3735400008;0.27%
JP3505000004;0.27%
DE000DTR0CK8;0.27%
US83088M1027;0.27%
IT0003132476;0.27%
FR0000125486;0.27%
US3156161024;0.26%
FR0000133308;0.26%
US6687711084;0.25%
JP3362700001;0.25%
JP3381000003;0.25%
US0268747849;0.24%
FR001400AJ45;0.24%
US3364331070;0.24%
US7443201022;0.24%
JP3566800003;0.24%
JP3422950000;0.24%
FR0000131906;0.24%
JE00B4T3BW64;0.24%
US9621661043;0.23%
US8816242098;0.23%
CH0012214059;0.23%
US0394831020;0.23%
CA6837151068;0.22%
JP3726800000;0.22%
DE0005785604;0.21%
US7458671010;0.21%
US92556V1061;0.21%
JP3814800003;0.20%
JP3830800003;0.20%
JP3634600005;0.20%
US16119P1084;0.20%
JP3551500006;0.20%
GB0030913577;0.20%
JP3973400009;0.20%
JP3397200001;0.19%
JP3165700000;0.19%
ES0173516115;0.19%
DE000CBK1001;0.19%
US8793601050;0.19%
JP3899600005;0.19%
GB00B033F229;0.18%
US48203R1041;0.18%
US4663131039;0.18%
LU1598757687;0.18%
DE0006047004;0.18%
JP3526600006;0.17%
JP3752900005;0.17%
US6907421019;0.17%
JP3635000007;0.17%
CA67077M1086;0.16%
CA3039011026;0.16%
JP3228600007;0.16%
GB00B1XZS820;0.16%
US44107P1049;0.16%
ES0178430E18;0.16%
JP3407400005;0.16%
ES0140609019;0.16%
US6703461052;0.16%
JP3188220002;0.15%
JP3116000005;0.15%
FR0000045072;0.15%
BMG507361001;0.15%
JP3573000001;0.15%
US78467J1007;0.15%
US74736K1016;0.15%
IL0006046119;0.15%
JP3414750004;0.15%
AT0000652011;0.15%
NL0000009538;0.15%
DK0010244508;0.15%
DE000PAH0038;0.15%
DE000BASF111;0.14%
US2473617023;0.14%
NL0010773842;0.14%
JP3486800000;0.14%
JP3200450009;0.14%
US87165B1035;0.14%
GB00BMVP7Y09;0.14%
US55261F1049;0.14%
DK0010274414;0.14%
JP3762600009;0.14%
US60871R2094;0.14%
US00971T1016;0.14%
FR0000120172;0.14%
JP3672400003;0.13%
HK0016000132;0.13%
US9314271084;0.13%
US1746101054;0.13%
US9024941034;0.13%
US29109X1063;0.13%
CA5592224011;0.13%
FI4000297767;0.13%
