ISIN;WEIGHT
US0378331005;3.68%
US67066G1040;2.48%
US5949181045;2.38%
US0231351067;2.26%
US30303M1027;2.08%
US02079K3059;1.18%
US46625H1005;1.00%
US02079K1079;0.98%
US22160K1051;0.80%
US30231G1022;0.78%
US9311421039;0.61%
US5324571083;0.59%
US92826C8394;0.55%
US57636Q1040;0.52%
US88160R1014;0.52%
US4781601046;0.48%
US4370761029;0.48%
US9497461015;0.47%
US0846707026;0.47%
US64110L1061;0.45%
US1667641005;0.45%
US11135F1012;0.44%
US1491231015;0.40%
US8725401090;0.38%
US0605051046;0.36%
US20825C1045;0.35%
US6701002056;0.35%
US92343V1044;0.35%
US9078181081;0.34%
US2441991054;0.34%
US00206R1023;0.34%
US7475251036;0.33%
US3755581036;0.32%
US00287Y1091;0.32%
US0382221051;0.31%
US38141G1040;0.30%
US20030N1019;0.29%
US7802593050;0.29%
LR0008862868;0.28%
CH0012032048;0.28%
US8725901040;0.27%
US7433151039;0.27%
US5128073062;0.27%
US7427181091;0.25%
US68389X1054;0.25%
US9694571004;0.24%
US58733R1023;0.23%
US8923313071;0.23%
US03076C1062;0.22%
US4042804066;0.22%
US26875P1012;0.22%
US87612G1013;0.22%
US92532F1003;0.22%
US14040H1059;0.21%
US69608A1088;0.21%
US16411R2085;0.21%
US89417E1091;0.21%
US1264081035;0.21%
US2473617023;0.21%
US6174464486;0.20%
US6937181088;0.20%
US89151E1091;0.19%
US0530151036;0.19%
US8085131055;0.19%
US1729674242;0.19%
US3848021040;0.19%
US7782961038;0.19%
US5010441013;0.18%
US1696561059;0.18%
US31428X1063;0.18%
US2310211063;0.18%
IE00B4BNMY34;0.18%
US4824801009;0.18%
US05722G1004;0.18%
US7134481081;0.17%
US56585A1025;0.17%
US66987V1098;0.17%
US37045V1008;0.17%
US6934751057;0.17%
US5500211090;0.17%
US1912161007;0.17%
CH0011075394;0.17%
US3119001044;0.17%
US9100471096;0.16%
US0268747849;0.16%
US9699041011;0.16%
US0258161092;0.16%
US0463531089;0.16%
US9029733048;0.16%
US8825081040;0.16%
US4165151048;0.16%
US0556221044;0.16%
FR0000121014;0.16%
US42809H1077;0.16%
US2546871060;0.16%
AU000000CBA7;0.16%
US6826801036;0.16%
CH0044328745;0.15%
US91913Y1001;0.15%
US0640581007;0.15%
CA7800871021;0.15%
US87612E1064;0.15%
US8356993076;0.15%
US7185461040;0.15%
US59156R1086;0.15%
US0311621009;0.15%
US0010551028;0.15%
US89832Q1094;0.15%
US0404132054;0.15%
AU000000NAB4;0.15%
US9113121068;0.15%
US09290D1019;0.15%
US00724F1012;0.14%
US6974351057;0.14%
US91324P1021;0.14%
PA1436583006;0.14%
US85208M1027;0.14%
FR0000125007;0.14%
IE000S9YS762;0.14%
US3696043013;0.14%
US7595301083;0.14%
DE0005557508;0.14%
US4592001014;0.14%
US06738E2046;0.14%
US7043261079;0.14%
US92537N1081;0.13%
FR0000125486;0.13%
US17275R1023;0.13%
US0028241000;0.13%
US6200763075;0.13%
US6068221042;0.13%
CH0244767585;0.13%
US1101221083;0.13%
FR0000073272;0.13%
AU000000WBC1;0.13%
US48251W1045;0.13%
US81762P1021;0.13%
US37733W2044;0.13%
IT0005239360;0.13%
CH0126881561;0.13%
US88262P1021;0.13%
US87165B1035;0.13%
US29084Q1004;0.13%
US58933Y1055;0.12%
US1924461023;0.12%
US9113631090;0.12%
US7443201022;0.12%
US6795801009;0.12%
US5260571048;0.12%
US4663131039;0.12%
US79466L3024;0.12%
US05946K1016;0.12%
IE00028FXN24;0.12%
US46120E6023;0.12%
US6558441084;0.12%
US25278X1090;0.12%
US98978V1035;0.12%
USN070592100;0.12%
US6703461052;0.12%
CH0038863350;0.12%
US94106L1098;0.12%
US62944T1051;0.12%
US3167731005;0.12%
NL0000235190;0.12%
GB00B1YW4409;0.12%
IE000IVNQZ81;0.11%
US26884L1098;0.11%
US86562M2098;0.11%
US12572Q1058;0.11%
US35671D8570;0.11%
US88579Y1010;0.11%
US8243481061;0.11%
AU000000WES1;0.11%
US75513E1010;0.11%
US8923561067;0.11%
US3453708600;0.11%
BMG0450A1053;0.11%
US5951121038;0.11%
US7547301090;0.11%
CA8672241079;0.11%
