ISIN;Weight
US11135F1012;0.39%
CA0084741085;0.36%
US3696043013;0.36%
US30303M1027;0.35%
US21037T1097;0.35%
US35137L1052;0.34%
US7181721090;0.34%
US14040H1059;0.33%
US38141G1040;0.33%
US5010441013;0.33%
US00287Y1091;0.33%
US29364G1031;0.33%
GB0005405286;0.33%
CA9628791027;0.33%
US95040Q1040;0.33%
IE00BTN1Y115;0.33%
US9311421039;0.33%
US23918K1088;0.33%
US0640581007;0.33%
GB0004544929;0.33%
CA39138C1068;0.32%
DE0005557508;0.32%
US4592001014;0.32%
US3755581036;0.32%
US0404132054;0.32%
US92840M1027;0.32%
US34959E1091;0.32%
IL0010824113;0.32%
US0258161092;0.32%
US67103H1077;0.32%
LR0008862868;0.32%
US6293775085;0.32%
US4824801009;0.32%
US30034W1062;0.31%
US74834L1008;0.31%
US7475251036;0.31%
US65473P1057;0.31%
US69351T1060;0.31%
US00206R1023;0.31%
US87612G1013;0.31%
US7607591002;0.31%
US0846707026;0.31%
US40412C1018;0.31%
US94106L1098;0.31%
US03073E1055;0.31%
US0495601058;0.31%
US31946M1036;0.31%
CH0114405324;0.31%
US2774321002;0.30%
US87165B1035;0.30%
US8725901040;0.30%
US8725401090;0.30%
US58155Q1031;0.30%
US7010941042;0.30%
US2971781057;0.30%
CA94106B1013;0.30%
US14149Y1082;0.30%
US4878361082;0.30%
GB0002875804;0.30%
US7588491032;0.30%
US6200763075;0.30%
US8636671013;0.30%
US7611521078;0.30%
US4601461035;0.30%
CA7392391016;0.30%
US8288061091;0.30%
US46120E6023;0.30%
US0534841012;0.30%
HK0992009065;0.30%
US0378331005;0.30%
US9694571004;0.30%
US3666511072;0.30%
US2310211063;0.30%
US9139031002;0.29%
US92532F1003;0.29%
US5049221055;0.29%
US29476L1070;0.29%
ES0144580Y14;0.29%
US20825C1045;0.29%
IE000S9YS762;0.29%
US1101221083;0.29%
US92939U1060;0.29%
US9621661043;0.29%
US2788651006;0.29%
GB00BLGZ9862;0.29%
US8425871071;0.29%
CA8667961053;0.29%
GB00BDCPN049;0.29%
GB00BP6MXD84;0.29%
US4165151048;0.29%
US4943681035;0.29%
NL0011794037;0.29%
CA7800871021;0.29%
CH0012005267;0.29%
US8581191009;0.29%
CA6330671034;0.29%
US6937181088;0.29%
US30231G1022;0.29%
US31620R3030;0.28%
US3167731005;0.28%
CA3495531079;0.28%
US29444U7000;0.28%
US7445731067;0.28%
US17275R1023;0.28%
US7427181091;0.28%
US7043261079;0.28%
CA4530384086;0.28%
US0533321024;0.28%
US03769M1062;0.28%
US1491231015;0.28%
CA1360691010;0.28%
US98389B1008;0.28%
CH0044328745;0.28%
CA56501R1064;0.28%
US49456B1017;0.28%
US2091151041;0.28%
US3119001044;0.28%
US0311621009;0.28%
US1252691001;0.28%
US02209S1033;0.28%
CH0012032048;0.28%
GB00B2B0DG97;0.28%
CH0012221716;0.28%
US0530151036;0.28%
CA0641491075;0.28%
US9078181081;0.28%
US1941621039;0.28%
CA8849038085;0.28%
DE000A1ML7J1;0.28%
IE000IVNQZ81;0.27%
US4523081093;0.27%
US68389X1054;0.27%
US0010551028;0.27%
US09857L1089;0.27%
GB0007188757;0.27%
US7443201022;0.27%
US92343V1044;0.27%
CA5394811015;0.27%
US5324571083;0.27%
US91324P1021;0.27%
US9256521090;0.27%
US49446R1095;0.27%
US60871R2094;0.27%
US8168511090;0.27%
US44107P1049;0.27%
JP3218900003;0.27%
US46284V1017;0.27%
US3848021040;0.27%
US1912161007;0.27%
US74460D1090;0.27%
US1713401024;0.27%
US6951561090;0.27%
US36266G1076;0.26%
US02079K3059;0.26%
US2538681030;0.26%
US5486611073;0.26%
US8923561067;0.26%
US92556V1061;0.26%
US3635761097;0.26%
IE00B4BNMY34;0.26%
US91913Y1001;0.26%
US7458671010;0.26%
US5949181045;0.26%
US1255231003;0.26%
US9024941034;0.26%
US84265V1052;0.26%
US56585A1025;0.26%
US0382221051;0.26%
IE00B8KQN827;0.26%
US26441C2044;0.26%
FR0000120578;0.26%
FR0013326246;0.26%
US55261F1049;0.26%
US16411R2085;0.26%
US12008R1077;0.26%
BMG0450A1053;0.26%
FR0000120271;0.25%
US62944T1051;0.25%
CA1363851017;0.25%
US8718291078;0.25%
US1011371077;0.25%
US2786421030;0.25%
NL0000009082;0.25%
US3695501086;0.25%
NL0009434992;0.25%
US6826801036;0.25%
US1890541097;0.25%
US7782961038;0.25%
US5007541064;0.25%
US9297401088;0.24%
JP3726800000;0.24%
US0028241000;0.24%
US92936U1097;0.24%
NL0000334118;0.24%
US43300A2033;0.24%
US30161N1019;0.24%
US4612021034;0.24%
US4385161066;0.24%
IE00BFY8C754;0.24%
US22822V1017;0.24%
US5260571048;0.24%
CA3039011026;0.24%
US03027X1000;0.23%
FR0000125486;0.23%
US9026531049;0.23%
US5398301094;0.23%
US5128073062;0.23%
CA8672241079;0.23%
US8330341012;0.23%
US69331C1080;0.23%
FR0000133308;0.23%
US92276F1003;0.23%
US59522J1034;0.23%
US26875P1012;0.23%
SG9999000020;0.23%
CA4488112083;0.23%
US6703461052;0.23%
US25278X1090;0.23%
US7766961061;0.23%
US29472R1086;0.23%
US22160K1051;0.23%
US23331A1097;0.23%
US1667641005;0.23%
CA0679011084;0.23%
US7185461040;0.23%
IE00BY7QL619;0.22%
US2058871029;0.22%
US9604131022;0.22%
BMG3223R1088;0.22%
US1270971039;0.22%
US2371941053;0.22%
US4781601046;0.22%
US2855121099;0.22%
US0394831020;0.22%
US8835561023;0.22%
JP3893200000;0.22%
US2333311072;0.22%
JP3496400007;0.22%
US78467J1007;0.22%
US64110D1046;0.22%
US9418481035;0.22%
US6687711084;0.21%
GB00B10RZP78;0.21%
CA29250N1050;0.21%
BMG2519Y1084;0.21%
US12504L1098;0.21%
US22052L1044;0.21%
US00846U1016;0.21%
JP3898400001;0.21%
US4364401012;0.21%
CA59162N1096;0.21%
JP3890310000;0.21%
US48203R1041;0.21%
JP3732000009;0.20%
US6092071058;0.20%
JP3735400008;0.20%
FR0000121964;0.20%
US2473617023;0.20%
CA1363751027;0.20%
US0311001004;0.20%
US98978V1035;0.20%
GB00BMX86B70;0.20%
FR0010208488;0.20%
CH1300646267;0.20%
US7134481081;0.20%
CA89156V1067;0.20%
CA15135U1093;0.20%
US20030N1019;0.20%
JP3242800005;0.20%
US0367521038;0.20%
US0865161014;0.20%
ES0148396007;0.20%
KR7000270009;0.20%
NL0010773842;0.20%
ES0116870314;0.20%
US4606901001;0.19%
US30225T1025;0.19%
US98956P1021;0.19%
ES0178430E18;0.19%
KR7105560007;0.19%
CA7063271034;0.19%
US2605571031;0.19%
GB00BN7SWP63;0.19%
US1344291091;0.19%
DK0062498333;0.19%
CA25675T1075;0.19%
DE0007164600;0.19%
AU000000TLS2;0.18%
US0536111091;0.18%
US3703341046;0.18%
FR0000120644;0.18%
US31620M1062;0.18%
KR7033780008;0.18%
US9029733048;0.18%
IT0003132476;0.18%
US42824C1099;0.18%
US2810201077;0.18%
US75886F1075;0.18%
CA12532H1047;0.18%
US49177J1025;0.18%
US0758871091;0.18%
JP3347200002;0.18%
US4523271090;0.18%
SE0017486889;0.18%
US58933Y1055;0.18%
JP3386450005;0.18%
US2358511028;0.18%
US5253271028;0.17%
CA67077M1086;0.17%
US4595061015;0.17%
US87612E1064;0.17%
GB00BH4HKS39;0.17%
CA87807B1076;0.17%
AU000000COH5;0.17%
US25179M1036;0.17%
US6819191064;0.17%
NL0000395903;0.17%
FR0000125338;0.17%
NO0010161896;0.17%
AU0000224040;0.17%
US46187W1071;0.17%
US5797802064;0.17%
SE0015811963;0.17%
JP3228600007;0.17%
DK0060252690;0.17%
FR001400AJ45;0.16%
CH0012549785;0.16%
US5745991068;0.16%
US1258961002;0.16%
US7140461093;0.16%
AU000000WES1;0.16%
US3021301094;0.16%
US02005N1000;0.16%
FR0000120073;0.16%
NL0010273215;0.16%
US21036P1084;0.16%
JP3294460005;0.16%
US5404241086;0.15%
JP3494600004;0.15%
JE00B4T3BW64;0.15%
JP3573000001;0.15%
AU000000AGL7;0.15%
ES0130670112;0.15%
CA01626P1484;0.15%
US9113121068;0.15%
IT0001233417;0.15%
CA76131D1033;0.15%
US5529531015;0.15%
KR7086790003;0.15%
US1508701034;0.15%
JP3899600005;0.14%
CH0014852781;0.14%
US1729081059;0.14%
GB00BHJYC057;0.14%
JP3486800000;0.14%
CA45823T1066;0.14%
SE0005190238;0.14%
JP3463000004;0.14%
CH0012214059;0.14%
IE0005711209;0.14%
AU000000FMG4;0.14%
US75513E1010;0.14%
JP3756600007;0.14%
DE000BASF111;0.14%
CH0025751329;0.13%
SG1T75931496;0.13%
LU2598331598;0.13%
FR0000120172;0.13%
AU000000SHL7;0.13%
CH0008742519;0.13%
JP3613000003;0.13%
US5018892084;0.13%
NO0005052605;0.13%
DE0005190003;0.13%
JP3733000008;0.13%
US6745991058;0.13%
JP3663900003;0.13%
JP3762900003;0.13%
NO0010096985;0.13%
JP3897700005;0.13%
IT0003128367;0.12%
CA5592224011;0.12%
JP3188220002;0.12%
KYG217651051;0.12%
DE0008402215;0.12%
KR7005930003;0.12%
JP3326410002;0.12%
US88579Y1010;0.12%
AU000000GPT8;0.11%
AU0000088338;0.11%
US30212P3038;0.11%
SE0000148884;0.11%
FI0009005987;0.11%
HK0019000162;0.11%
SE0000667891;0.11%
AU000000RIO1;0.11%
IT0003796171;0.11%
HK0016000132;0.11%
GB00B8C3BL03;0.11%
US2435371073;0.11%
US6541061031;0.11%
GB00BGDT3G23;0.11%
JP3837800006;0.11%
GB0007908733;0.10%
US35671D8570;0.10%
HK0006000050;0.10%
US83088M1027;0.10%
US12514G1085;0.10%
US1011211018;0.10%
BE0974293251;0.10%
JP3526600006;0.10%
NO0010063308;0.10%
GB00BVYVFW23;0.10%
US2166485019;0.10%
US14448C1045;0.09%
JP3143600009;0.09%
SE0000667925;0.09%
SE0020050417;0.09%
FR0010040865;0.09%
NL0012866412;0.09%
DE0005785802;0.09%
JP3830000000;0.09%
JP3158800007;0.09%
AU000000ORG5;0.09%
US37045V1008;0.09%
US4404521001;0.09%
ES0173093024;0.09%
NZTELE0001S4;0.09%
AU000000SCG8;0.09%
JP3519400000;0.09%
US1720621010;0.09%
IE0001827041;0.09%
JP3205800000;0.08%
GB00B5ZN1N88;0.08%
US3453708600;0.08%
JP3381000003;0.08%
BMG677491539;0.08%
JP3289800009;0.08%
CH0030170408;0.08%
US9553061055;0.08%
JP3869010003;0.08%
DK0010244508;0.08%
FR0000125007;0.08%
AT0000743059;0.08%
GB00B033F229;0.08%
HK0002007356;0.08%
JP3877600001;0.08%
JP3180400008;0.08%
KYG960071028;0.08%
JP3305990008;0.08%
NO0010208051;0.08%
GB0007980591;0.08%
US68902V1070;0.08%
JP3830800003;0.08%
DE0006047004;0.07%
GB00BP0RGD03;0.07%
AU000000AZJ1;0.07%
CH0010645932;0.07%
CA8787422044;0.07%
DE000A1DAHH0;0.07%
US7591EP1005;0.07%
JP3918000005;0.07%
CA3518581051;0.07%
JP3896800004;0.07%
JP3200450009;0.06%
IT0003153415;0.06%
FI0009013403;0.06%
JP3409000001;0.06%
KR7003550001;0.06%
US3379321074;0.06%
US3724601055;0.06%
JP3621000003;0.06%
JP3499800005;0.06%
US42250P1030;0.06%
AU0000030678;0.05%
JP3436100006;0.05%
;0.05%
JP3485800001;0.05%
JP3910660004;0.05%
FI0009000202;0.05%
DE000ENAG999;0.05%
JP3137200006;0.05%
DK0010181759;0.05%
JP3888300005;0.05%
SG1M51904654;0.05%
US2561631068;0.05%
GB0030913577;0.04%
SE0000106270;0.04%
NZXROE0001S2;0.04%
NL0000226223;0.04%
JP3942800008;0.03%
ES0130960018;0.03%
JP3039710003;0.03%
JP3419400001;0.03%
FI0009007132;0.03%
US92338C1036;0.03%
FI0009007884;0.03%
NO0003054108;0.02%
KR7032640005;0.02%
HK0008011667;0.02%
JP3116000005;0.02%
NL0000008977;0.02%
US6011371027;0.02%
GB00B1WY2338;0.02%
JP3404200002;0.01%
AU000000DXS1;0.01%
GB00B24CGK77;0.01%
GB00BMWC6P49;0.01%
DE000A0HN5C6;0.00%
HWAH5;0.00%
CA05534B7604;0.00%
GB00B71N6K86;0.00%
