ISIN;Percent of Fund
US17275R1023;4.040077
US7475251036;2.873716
US0382221051;2.168735
JP3633400001;2.149575
US00206R1023;2.007488
US1729674242;1.771384
US92343V1044;1.748757
GB0005405286;1.677733
GB0002875804;1.669309
CH0012032048;1.436438
US4781601046;1.434156
US4581401001;1.427950
GB00BP6MXD84;1.376069
US5128073062;1.330005
US20030N1019;1.272281
CH0012005267;1.076179
FR0000131104;1.034292
US37045V1008;1.026153
FR0000120271;0.872844
US58933Y1055;0.850249
US7170811035;0.848514
US42824C1099;0.839341
GB0031348658;0.826406
FR0000120578;0.811380
JP3893600001;0.794326
ES0113211835;0.787842
DE0007100000;0.779804
JP3898400001;0.765088
JP3143600009;0.749957
AU000000BHP4;0.731498
FR0000125007;0.711917
US1924461023;0.707008
JP3854600008;0.704543
NL00150001Q9;0.702401
US14040H1059;0.688184
JP3242800005;0.683775
US5951121038;0.683527
DE0006231004;0.681353
IT0005239360;0.680353
DE0005140008;0.659390
US1266501006;0.638169
GB00BN7SWP63;0.619588
IE000IVNQZ81;0.616250
FI0009000681;0.599887
GB0004544929;0.580712
CA56501R1064;0.578108
GB0007980591;0.551067
GB00B1YW4409;0.547768
US1255231003;0.546160
US40434L1052;0.527751
DE0007664039;0.517117
US89832Q1094;0.516271
JP3164720009;0.513386
GB0007188757;0.499606
GB0008706128;0.486233
GB0004082847;0.483729
JP3814000000;0.482467
DE0005190003;0.466285
JP3818000006;0.462195
JP3496400007;0.457234
US23331A1097;0.452414
JP3733000008;0.435400
JP3866800000;0.432612
US74460D1090;0.432299
JP3404600003;0.416324
JP3914400001;0.413610
DE0005552004;0.395505
US5010441013;0.392406
NL0011794037;0.390746
JP3902400005;0.385270
JP3538800008;0.380299
JP3304200003;0.377864
US5260571048;0.376363
SE0000115446;0.375421
JP3753000003;0.371146
FR0000130809;0.364671
FR0000125338;0.360467
GB00BH4HKS39;0.359352
NL0000226223;0.357434
US5007541064;0.349189
JP3249600002;0.344380
GB00BM8PJY71;0.343267
DE0007037129;0.341748
US64110D1046;0.335198
US0367521038;0.333770
KYG217651051;0.333176
US8288061091;0.327159
JP3877600001;0.326110
SE0000108656;0.312003
GB00BLGZ9862;0.305356
CA12532H1047;0.304950
JP3726800000;0.303571
SG1S04926220;0.297885
US3156161024;0.296926
IL0010824113;0.296813
JP3735400008;0.295598
US7458671010;0.295191
NL0000687663;0.288238
US55261F1049;0.286320
US0394831020;0.285986
US15135B1017;0.283683
FR001400AJ45;0.283381
JP3362700001;0.281783
CH0012214059;0.265362
IL0006046119;0.253662
JP3634600005;0.252626
JP3573000001;0.251157
US1746101054;0.243606
NL0010773842;0.239264
US87165B1035;0.239062
FR0000133308;0.237013
JP3200450009;0.236521
ES0140609019;0.234876
US6821891057;0.228450
JP3397200001;0.227329
JP3752900005;0.225668
DE000CBK1001;0.223472
JP3814800003;0.222846
US6907421019;0.221697
GB0007908733;0.217584
IL0006625771;0.216801
FR0000130577;0.215974
JP3228600007;0.210709
JP3635000007;0.210315
US6687711084;0.208813
JP3526600006;0.207919
US90138F1021;0.206685
US12008R1077;0.204096
US4663131039;0.201876
GB0030913577;0.201490
US4461501045;0.195014
AT0000652011;0.194917
US7591EP1005;0.193466
JP3180400008;0.192260
US83088M1027;0.189550
US8574771031;0.184787
FR0000131906;0.184123
BMG3223R1088;0.182400
GB00B033F229;0.182222
ES0173516115;0.180075
US3364331070;0.178422
JP3566800003;0.176450
JP3505000004;0.174881
JP3116000005;0.174561
CA7392391016;0.173595
JP3407400005;0.173437
JP3381000003;0.172109
US0865161014;0.171590
CA6837151068;0.171222
DE000BAY0017;0.168617
US8816242098;0.165205
HK0002007356;0.163569
DK0010244508;0.163092
HK0006000050;0.162606
BMG507361001;0.162540
DE0006047004;0.161176
US48203R1041;0.160256
FR0000045072;0.157544
US8793601050;0.156907
DE0005785604;0.153713
AU000000RIO1;0.152475
DE000PAH0038;0.150724
US35137L1052;0.150374
US60871R2094;0.149199
US2473617023;0.148321
AU000000FMG4;0.147220
US6703461052;0.147023
DE0006048432;0.145828
JP3188220002;0.144164
JP3672400003;0.144076
US9314271084;0.142997
CA67077M1086;0.141763
HK2388011192;0.141323
CA5592224011;0.140962
NO0010096985;0.140072
JP3420600003;0.137473
HK0016000132;0.136985
JP3165700000;0.136905
JP3946750001;0.135319
US86800U3023;0.134380
US2561631068;0.133803
US6819191064;0.133579
US9621661043;0.133000
FR0000120172;0.132134
IT0003856405;0.129654
JP3190000004;0.129342
KYG960071028;0.128103
IE00BF0L3536;0.127597
FR0000120503;0.126254
LU1598757687;0.125769
IE00BD1RP616;0.125131
JP3414750004;0.120803
ES0113860A34;0.120382
US92556V1061;0.120311
JP3210200006;0.118773
JP3294460005;0.116546
CH1300646267;0.115929
IL0006912120;0.115084
DK0010244425;0.114687
JP3585800000;0.114572
DE0005439004;0.108473
US2058871029;0.107962
NL0011540547;0.107707
US74736K1016;0.106719
JP3629000005;0.106295
JP3137200006;0.106086
BE0974264930;0.105591
US91307C1027;0.105469
JP3830000000;0.104859
GB00BMVP7Y09;0.104623
JP3973400009;0.104566
JP3899600005;0.103545
JP3112000009;0.101130
US29109X1063;0.101071
US29476L1070;0.100535
JP3493800001;0.100347
SE0000108227;0.099512
US02005N1000;0.099422
JE00BTDN8H13;0.098960
JP3486800000;0.098777
US59522J1034;0.098758
JE00B8KF9B49;0.098443
FR0000051807;0.098432
IT0005218380;0.098331
JP3386450005;0.097138
CH1243598427;0.096837
US44107P1049;0.096186
CH0025751329;0.094727
JP3942800008;0.092725
JP3258000003;0.092454
JP3102000001;0.092156
NL0009434992;0.092107
SE0000107203;0.091378
BMG2178K1009;0.090799
GB00B019KW72;0.090673
DE0005785802;0.088458
DE0005190037;0.088294
US83444M1018;0.088114
SE0000163594;0.084942
US8581191009;0.084874
GB0000811801;0.083987
DE0008232125;0.083619
FR0010220475;0.081836
DE0006048408;0.080752
US4606901001;0.080228
US8326964058;0.080031
CA45075E1043;0.079827
GB0033195214;0.079374
SG1V61937297;0.077989
AU000000STO6;0.077680
JP3419400001;0.076704
JP3223800008;0.076514
FR0000130452;0.076313
JP3347200002;0.076123
SE0000113250;0.075881
GB0006731235;0.075801
IL0006954379;0.074994
US1331311027;0.073543
US1651677353;0.073138
CA0213611001;0.072421
JP3955000009;0.071594
JP3266400005;0.071057
CA89156V1067;0.070628
NL0011872643;0.070146
SE0000190126;0.069689
SG1U76934819;0.069455
AU000000QAN2;0.068851
US36467J1088;0.068779
SG1T56930848;0.066941
CA68272K1030;0.066918
IE0002424939;0.066841
CH0198251305;0.066755
US61945C1036;0.066208
NL0012059018;0.065919
CH0012032113;0.064371
SE0020050417;0.064342
NL0000379121;0.063947
US03743Q1085;0.062734
US0130911037;0.062489
FI0009007132;0.062476
JP3897700005;0.061880
US92936U1097;0.061299
US21871X1090;0.060954
KYG8187G1055;0.060867
CA00208D4084;0.060513
US09062X1037;0.059606
GB00BP0RGD03;0.059127
US3546131018;0.058090
JP3111200006;0.056239
JP3621000003;0.055530
AT0000743059;0.055356
SE0000114837;0.054695
JP3386030005;0.054572
US35137L2043;0.053936
GB00BMWC6P49;0.053837
HK0066009694;0.052286
NO0010345853;0.051858
NO0003733800;0.051491
JP3360800001;0.050696
DE000TLX1005;0.049354
CH0012138605;0.049336
US9139031002;0.049307
US69047Q1022;0.048681
DE000A1DAHH0;0.048497
JP3104890003;0.046907
HK0019000162;0.046869
US4464131063;0.046109
JP3494600004;0.044640
JP3336560002;0.044062
GB0009223206;0.043286
JP3142500002;0.042633
JP3787000003;0.042526
AU000000BSL0;0.042186
LU2598331598;0.041794
US60855R1005;0.038871
JP3351500008;0.038629
JP3918000005;0.038288
JP3197600004;0.037150
FR0010313833;0.036589
FR0010259150;0.036364
US6011371027;0.035949
JP3400400002;0.035933
IT0004810054;0.035421
IT0000066123;0.034602
JP3402600005;0.033665
US4039491000;0.033622
IT0003497168;0.033499
CA0089118776;0.033081
SE0000115420;0.032999
CA2918434077;0.032926
AT0000746409;0.032332
JP3888300005;0.031040
JP3027670003;0.031037
IT0005366767;0.030648
FI0009005961;0.030462
FR0000121121;0.028590
HK0083000502;0.027898
NO0010208051;0.027719
SG1R50925390;0.027347
GB00B0LCW083;0.027053
DE000EVNK013;0.026371
JP3027680002;0.026305
DE0005158703;0.021015
FI0009013296;0.018714
JP3705200008;0.018570
JP3256000005;0.016393
ES0171996087;0.016186
KYG9593A1040;0.015723
NL0014332678;0.015205
CA4495861060;0.014935
