ISIN;Weighting
US30303M1027;5.64%
US0378331005;4.88%
US11135F1012;4.33%
US67066G1040;4.04%
US46625H1005;2.87%
US9311421039;2.55%
US0846707026;2.02%
US22160K1051;1.88%
US5324571083;1.72%
US64110L1061;1.59%
DE0007164600;1.49%
US00287Y1091;1.47%
US68389X1054;1.45%
US69608A1088;1.15%
US7181721090;1.11%
CA7800871021;1.05%
US46120E6023;1.03%
US4592001014;0.99%
US38141G1040;0.85%
US3696043013;0.84%
US00206R1023;0.79%
AU000000CBA7;0.78%
US3377381088;0.78%
US36828A1016;0.77%
CH0012032048;0.76%
US81762P1021;0.74%
US21037T1097;0.74%
JP3788600009;0.74%
US0258161092;0.73%
US1011371077;0.72%
US6174464486;0.72%
US8725901040;0.71%
US09857L1089;0.68%
US75513E1010;0.64%
US48251W1045;0.64%
US09290D1019;0.61%
DE0005557508;0.61%
US03831W1080;0.58%
US7433151039;0.55%
US0404132054;0.54%
US09260D1072;0.53%
JP3970300004;0.53%
US8825081040;0.50%
LU1778762911;0.49%
US95040Q1040;0.48%
US78409V1044;0.48%
US5949724083;0.47%
FR0000121972;0.46%
US0311621009;0.45%
US92840M1027;0.45%
US8725401090;0.44%
US3755581036;0.44%
US6200763075;0.43%
CA11271J1075;0.42%
CA1360691010;0.41%
GB00B10RZP78;0.40%
US65339F1012;0.39%
US88579Y1010;0.38%
IE00BK9ZQ967;0.37%
US8425871071;0.37%
US4432011082;0.37%
ES0144580Y14;0.36%
US02209S1033;0.36%
US45866F1049;0.36%
US1729081059;0.35%
US0640581007;0.35%
US7010941042;0.35%
JP3900000005;0.35%
GB00B63H8491;0.35%
US9694571004;0.35%
AU000000WBC1;0.34%
LR0008862868;0.33%
US3032501047;0.31%
CH0012221716;0.31%
CA29250N1050;0.31%
US0320951017;0.31%
US6934751057;0.30%
CA56501R1064;0.30%
US03769M1062;0.30%
US26441C2044;0.29%
JP3122400009;0.28%
US6153691059;0.28%
DE000ENER6Y0;0.28%
US12504L1098;0.28%
CA87807B1076;0.27%
US0326541051;0.27%
CA21037X1006;0.27%
US49456B1017;0.27%
AU000000NAB4;0.27%
US87612G1013;0.26%
JP3890350006;0.26%
ES0148396007;0.26%
CA0084741085;0.25%
US8936411003;0.25%
IE0001827041;0.24%
JP3910660004;0.24%
US5398301094;0.24%
US43300A2033;0.24%
US29364G1031;0.24%
US2193501051;0.23%
US46284V1017;0.22%
US1468691027;0.22%
IT0005239360;0.22%
AU000000MQG1;0.22%
US05464C1018;0.21%
JP3802300008;0.21%
NL0011585146;0.21%
US89417E1091;0.21%
US0010551028;0.21%
CH0114405324;0.21%
US03076C1062;0.21%
SG1L01001701;0.21%
US40412C1018;0.21%
IT0000072618;0.20%
US8288061091;0.20%
US6826801036;0.20%
GB0031348658;0.20%
US7445731067;0.20%
US3635761097;0.20%
US31620M1062;0.20%
CH0012214059;0.19%
US9113631090;0.19%
US2538681030;0.19%
IE00BY7QL619;0.19%
GB00BM8PJY71;0.19%
US3802371076;0.19%
BE0003739530;0.19%
DE0005810055;0.18%
US2547091080;0.18%
DK0060079531;0.18%
US89832Q1094;0.18%
US2310211063;0.18%
US88262P1021;0.18%
US74762E1029;0.18%
JP3188220002;0.18%
US74460D1090;0.17%
US37045V1008;0.17%
AU000000ALL7;0.17%
SE0015811963;0.17%
US81141R1005;0.17%
GB00B1YW4409;0.17%
US3848021040;0.17%
JP3143600009;0.17%
US9297401088;0.16%
US25746U1097;0.16%
US14448C1045;0.16%
GB00B19NLV48;0.16%
US02043Q1076;0.16%
JP3519400000;0.16%
AU000000GMG2;0.16%
US92537N1081;0.16%
US0255371017;0.16%
CA1130041058;0.16%
CA6330671034;0.15%
CA45823T1066;0.15%
US3666511072;0.15%
US55261F1049;0.14%
US6311031081;0.14%
CA25675T1075;0.14%
NL0010832176;0.14%
US0200021014;0.14%
US03990B1017;0.13%
US92276F1003;0.13%
JP3818000006;0.13%
US4878361082;0.13%
JP3890310000;0.13%
US23331A1097;0.13%
NL0012969182;0.13%
GB0004544929;0.13%
JP3242800005;0.12%
US4165151048;0.12%
US7707001027;0.12%
US7561091049;0.12%
SE0000108656;0.12%
CA9628791027;0.12%
US29084Q1004;0.12%
US30225T1025;0.12%
US87165B1035;0.12%
US3167731005;0.12%
US1152361010;0.12%
US7547301090;0.11%
US7611521078;0.11%
JP3733000008;0.11%
US4601461035;0.11%
CA3039011026;0.11%
US62944T1051;0.11%
US9022521051;0.11%
US5253271028;0.10%
US0534841012;0.10%
GB00BLGZ9862;0.10%
US6293775085;0.10%
CH0010645932;0.10%
PA1436583006;0.10%
US40434L1052;0.10%
GB0004082847;0.10%
IT0004176001;0.10%
US89400J1079;0.10%
DE000A0D9PT0;0.09%
FI0009000681;0.09%
CH1243598427;0.09%
US3156161024;0.09%
IE00028FXN24;0.09%
US6951561090;0.09%
JP3118000003;0.09%
US2786421030;0.09%
US6687711084;0.09%
CA5394811015;0.09%
